race,group,terrain,manufactured,floorMult,tractionFloor,creatureSpeed,barefoot,totalMult,baseTicks,moddedTicks,ratio
GuineaPig,Padded_Small,Concrete,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,PavedTile,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,TileSandstone,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,FlagstoneSandstone,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,MetalTile,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,SilverTile,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,SterileTile,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,Bridge,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
Rat,Padded_Small,Soil,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,SoilRich,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Gravel,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Sand,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,SoftSand,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Mud,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Ice,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Riverbank,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,15.0,15.0,1.000
Rat,Padded_Small,Sandstone_Smooth,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,StrawMatting,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,WoodPlankFloor,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,Concrete,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,PavedTile,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,TileSandstone,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,FlagstoneSandstone,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,MetalTile,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,SilverTile,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,SterileTile,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Rat,Padded_Small,Bridge,yes,1.150,0.888,1.000,1.000,0.888,15.0,16.9,1.127
Cat,Padded_Small,Soil,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,SoilRich,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Gravel,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Sand,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,SoftSand,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Mud,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Ice,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Riverbank,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,13.6,13.6,1.000
Cat,Padded_Small,Sandstone_Smooth,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,StrawMatting,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,WoodPlankFloor,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,Concrete,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,PavedTile,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,TileSandstone,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,FlagstoneSandstone,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,MetalTile,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,SilverTile,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,SterileTile,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Cat,Padded_Small,Bridge,yes,1.150,0.888,1.000,1.000,0.888,13.6,15.4,1.127
Squirrel,Padded_Small,Soil,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,SoilRich,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Gravel,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Sand,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,SoftSand,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Mud,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Ice,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Riverbank,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,11.8,11.8,1.000
Squirrel,Padded_Small,Sandstone_Smooth,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,StrawMatting,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,WoodPlankFloor,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,Concrete,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,PavedTile,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,TileSandstone,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,FlagstoneSandstone,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,MetalTile,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,SilverTile,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,SterileTile,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
Squirrel,Padded_Small,Bridge,yes,1.150,0.888,1.000,1.000,0.888,11.8,13.3,1.127
LabradorRetriever,Padded_Medium,Soil,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,SoilRich,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Gravel,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Sand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,SoftSand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Mud,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Ice,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Riverbank,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
LabradorRetriever,Padded_Medium,Sandstone_Smooth,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,StrawMatting,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,WoodPlankFloor,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,Concrete,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,PavedTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,TileSandstone,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,FlagstoneSandstone,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,MetalTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,SilverTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,SterileTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
LabradorRetriever,Padded_Medium,Bridge,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,Soil,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,SoilRich,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Gravel,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Sand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,SoftSand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Mud,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Ice,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Riverbank,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Lynx,Padded_Medium,Sandstone_Smooth,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,StrawMatting,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,WoodPlankFloor,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,Concrete,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,PavedTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,TileSandstone,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,FlagstoneSandstone,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,MetalTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,SilverTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,SterileTile,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Lynx,Padded_Medium,Bridge,yes,1.150,0.963,1.000,1.000,0.963,12.0,12.5,1.039
Megasloth,Padded_Large,Soil,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,SoilRich,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Gravel,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Sand,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,SoftSand,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Mud,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Ice,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Riverbank,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,12.5,12.5,1.000
Megasloth,Padded_Large,Sandstone_Smooth,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,StrawMatting,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,WoodPlankFloor,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,Concrete,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,PavedTile,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,TileSandstone,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,FlagstoneSandstone,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,MetalTile,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,SilverTile,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,SterileTile,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Megasloth,Padded_Large,Bridge,yes,1.150,1.038,1.000,1.000,1.038,12.5,12.0,0.964
Goat,Hoofed_Medium,Soil,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,SoilRich,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Gravel,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Sand,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,SoftSand,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Mud,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Ice,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Riverbank,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,15.4,15.4,1.000
Goat,Hoofed_Medium,Sandstone_Smooth,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,StrawMatting,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,WoodPlankFloor,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,Concrete,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,PavedTile,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,TileSandstone,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,FlagstoneSandstone,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,MetalTile,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,SilverTile,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,SterileTile,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Goat,Hoofed_Medium,Bridge,yes,1.150,0.940,1.000,1.000,0.940,15.4,16.4,1.064
Caribou,Hoofed_Medium,Soil,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,SoilRich,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Gravel,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Sand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,SoftSand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Mud,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Ice,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Riverbank,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
Caribou,Hoofed_Medium,Sandstone_Smooth,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,StrawMatting,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,WoodPlankFloor,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,Concrete,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,PavedTile,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,TileSandstone,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,FlagstoneSandstone,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,MetalTile,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,SilverTile,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,SterileTile,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Caribou,Hoofed_Medium,Bridge,yes,1.150,0.940,1.000,1.000,0.940,12.0,12.8,1.064
Muffalo,Hoofed_Large,Soil,no,1.000,1.000,1.000,1.000,1.000,13.3,13.3,1.000
Muffalo,Hoofed_Large,SoilRich,no,1.000,1.000,1.000,1.000,1.000,13.3,13.3,1.000
